File	Artist	Title	Genre	Year	BitRate	Duration	Size
Sub Focus - Solar System.flac	Sub Focus	Solar System	Drum & Bass	      2019     	1098.7	   4:48   	37.7
Scatman John - Scatman.flac	Scatman John	Scatman (ski-ba-bop-ba-dop-bop)		      1994     	1040.1	   3:33   	26.5
Gala - Freed From Desire.wav		Freed From Desire		      None     	1411.2	   3:32   	35.7
Karol G - Bichota.flac	KAROL G	BICHOTA	Latin Hip-Hop	      2021     	799.3	   2:58   	17.0
Tiesto - The Motto.wav	Tiesto & Ava Max	The Motto	House	      2021     	1411.2	   2:44   	27.7
Eddy Grant - Electric Avenue.flac	Eddy Grant	Electric Avenue	Pop	      2002     	908.8	   3:49   	24.9
Tiësto - The Motto.flac	Tiësto & Ava Max	The Motto	Pop	      2022     	1042.0	   2:44   	20.4
Benassi Bros - Every Single Day.flac	Benassi Bros. & Dhany	Every Single Day	Dance	      2005     	1023.0	   4:45   	34.8
Etnica - Impact.flac	Etnica	Impact	Psy-Trance	      2012     	798.5	   8:47   	50.2
Gina G – Ti Amo.flac	Gina G	Ti Amo	pop	      1997     	1009.5	   2:50   	20.5
Boundless - Liquid Earth.wav				      None     	1411.2	   7:30   	75.7
Ummet Ozcan - My Beat Goes.flac	Ummet Ozcan	My Beat Goes	Dance	      2023     	1031.6	   3:46   	27.8
French Affair - My Heart Goes Boom.flac	French Affair	My Heart Goes Boom (La Di Da Da)	Pop	      2000     	955.3	   3:40   	25.1
